Postal Code,State,Primary_city,Zone
08054,NJ,Mount Laurel,NJ-EDS-A
08055,NJ,Medford,NJ-EDS-B
08056,NJ,Mickleton,NJ-EDS-B
08057,NJ,Moorestown,NJ-EDS-A
08059,NJ,Mount Ephraim,NJ-EDS-B
08060,NJ,Mount Holly,NJ-EDS-A
08061,NJ,Mount Royal,NJ-EDS-B
08063,NJ,National Park,NJ-EDS-B
08065,NJ,Palmyra,NJ-EDS-A
08066,NJ,Paulsboro,NJ-EDS-B
08068,NJ,Pemberton,NJ-EDS-A
08071,NJ,Pitman,NJ-EDS-B
08075,NJ,Riverside,NJ-EDS-A
08077,NJ,Riverton,NJ-EDS-A
08078,NJ,Runnemede,NJ-EDS-B
08080,NJ,Sewell,NJ-EDS-B
08081,NJ,Sicklerville,NJ-EDS-B
08083,NJ,Somerdale,NJ-EDS-B
08084,NJ,Stratford,NJ-EDS-B
08086,NJ,Thorofare,NJ-EDS-B
08090,NJ,Wenonah,NJ-EDS-B
08091,NJ,West Berlin,NJ-EDS-B
08093,NJ,Westville,NJ-EDS-B
08096,NJ,Woodbury,NJ-EDS-B
08097,NJ,Woodbury Heights,NJ-EDS-B
08102,NJ,Camden,NJ-EDS-B
08103,NJ,Camden,NJ-EDS-B
08104,NJ,Camden,NJ-EDS-B
08105,NJ,Camden,NJ-EDS-B
08106,NJ,Audubon,NJ-EDS-B
08107,NJ,Oaklyn,NJ-EDS-B
08108,NJ,Collingswood,NJ-EDS-B
08109,NJ,Merchantville,NJ-EDS-B
08110,NJ,Pennsauken,NJ-EDS-B
08501,NJ,Allentown,NJ-EDS-A
08502,NJ,Belle Mead,NJ-EDS-A
08505,NJ,Bordentown,NJ-EDS-A
08510,NJ,Clarksburg,NJ-EDS-A
08511,NJ,Cookstown,NJ-EDS-A
08512,NJ,Cranbury,NJ-EDS-A
08514,NJ,Cream Ridge,NJ-EDS-A
08515,NJ,Crosswicks,NJ-EDS-A
08518,NJ,Florence,NJ-EDS-A
08520,NJ,Hightstown,NJ-EDS-A
08525,NJ,Hopewell,NJ-EDS-A
08527,NJ,Jackson,NJ-EDS-A
08528,NJ,Kingston,NJ-EDS-A
08530,NJ,Lambertville,NJ-EDS-A
08533,NJ,New Egypt,NJ-EDS-A
08534,NJ,Pennington,NJ-EDS-A
08535,NJ,Perrineville,NJ-EDS-A
08536,NJ,Plainsboro,NJ-EDS-A
08540,NJ,Princeton,NJ-EDS-A
08541,NJ,Princeton,NJ-EDS-A
08542,NJ,Princeton,NJ-EDS-A
08544,NJ,Princeton,NJ-EDS-A
08550,NJ,Princeton Junction,NJ-EDS-A
08551,NJ,Ringoes,NJ-EDS-A
08553,NJ,Rocky Hill,NJ-EDS-A
08554,NJ,Roebling,NJ-EDS-A
08555,NJ,Roosevelt,NJ-EDS-A
08556,NJ,Rosemont,NJ-EDS-A
08558,NJ,Skillman,NJ-EDS-A
08559,NJ,Stockton,NJ-EDS-A
08560,NJ,Titusville,NJ-EDS-A
08561,NJ,Windsor,NJ-EDS-A
08562,NJ,Wrightstown,NJ-EDS-A
08608,NJ,Trenton,NJ-EDS-A
08609,NJ,Trenton,NJ-EDS-A
08610,NJ,Trenton,NJ-EDS-A
08611,NJ,Trenton,NJ-EDS-A
08618,NJ,Trenton,NJ-EDS-A
08619,NJ,Trenton,NJ-EDS-A
08620,NJ,Trenton,NJ-EDS-A
08628,NJ,Trenton,NJ-EDS-A
08629,NJ,Trenton,NJ-EDS-A
08638,NJ,Trenton,NJ-EDS-A
08640,NJ,Trenton,NJ-EDS-A
08641,NJ,Trenton,NJ-EDS-A
08645,NJ,Trenton,NJ-EDS-A
08646,NJ,Trenton,NJ-EDS-A
08647,NJ,Trenton,NJ-EDS-A
08648,NJ,Trenton,NJ-EDS-A
08666,NJ,Trenton,NJ-EDS-A
08690,NJ,Trenton,NJ-EDS-A
08691,NJ,Trenton,NJ-EDS-A
08695,NJ,Trenton,NJ-EDS-A
08701,NJ,Lakewood,NJ-EDS-A
08721,NJ,Bayville,NJ-EDS-A
08722,NJ,Beachwood,NJ-EDS-A
08723,NJ,Brick,NJ-EDS-A
08724,NJ,Brick,NJ-EDS-A
